touch_id,first_msg,group_name,category,subcategory
10424248388951,一个订单可以发三个手机吗,邮寄回收-回收宝,订单与物流类,订单与物流类-其他
10424248388062,为什么都拍不了,一口价帮卖-回收宝,其他,未分类
10424248392535,这个订单验货宝没发货能取消购买么,回收宝验货宝技能组,订单与物流类,物流追踪
10424248392542,订单号:2427389796653152676,回收宝验货宝技能组,订单与物流类,订单查询
10424248394379,这款手机是曲面屏，膜是贴不到这个地方的，如果这样算划伤的话，那就没有是好的了,上门&到店回收-回收宝,其他,未分类
10424248404266,手机出现验货宝提出瑕疵外的痕迹,回收宝验货宝技能组,其他,未分类
10424248415911,<img src='https://img.alicdn.com/imgextra/i4/2310094364/O1CN01OKwLjw1i6lSQ7kBgJ_!!2310094364-0-alxm.jpg'>,回收宝验货宝技能组,其他,未分类
10424248422204,你好,回收宝验货宝技能组,问候语,问候语
10424248424022,15135275688,邮寄帮卖及鱼市-回收宝,其他,未分类
10424248429462,地址错了,邮寄帮卖及鱼市-回收宝,其他,未分类
10424248440223,我认为你们是可以给出一个公允的价格的,上门&到店回收-回收宝,产品咨询类,产品价格
10424248435755,你好,邮寄帮卖及鱼市-回收宝,订单与物流类,订单查询
10424248439362,人工客服,邮寄回收-回收宝,服务咨询类,人工服务
10424248437583,你已经收到款什么时候打？,邮寄回收-回收宝,其他,未分类
10424248452811,回收商一直不把我手机退回来。,邮寄回收-回收宝,其他,未分类
10424248443000,您好，检测时可以帮我看下手机的运行内存大小吗？,回收宝验货宝技能组,其他,未分类
10424248453764,你好,回收宝验货宝技能组,售后服务类,退款处理
10424248453783,什么时候安排退回手机,邮寄回收-回收宝,其他,未分类
10424248462726,订单号:2424193358421682879,上门&到店回收-回收宝,订单与物流类,订单查询
10424248465414,你好，啥时候验机啊,上门&到店回收-回收宝,问候语,问候语
10424248460100,今天能退回吗,邮寄回收-回收宝,其他,未分类
10424248473512,订单号:2426252989934644361,回收宝验货宝技能组,订单与物流类,订单查询
10424248471730,你好,回收宝验货宝技能组,订单与物流类,订单查询
10424248483405,【闲鱼验货宝】收货电话：18927437770 收件人：闲鱼验货中心（质保），收货地址：广东省深圳市福田区华强北曼哈美妆广场A座东区3楼回收宝科技有限公司,回收宝验货宝技能组,订单与物流类,物流追踪
